!	!	!	PUNCT
"	"	''	PUNCT
''n	''n	DET	DET.Ind.Acc.Sg.Neut	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''n	''n	DET	DET.Ind.Nom.Sg.Fem	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''n	''n	DET	DET.Ind.Nom.Sg.Masc	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''n	''n	DET	DET.Ind.Nom.Sg.Neut	1.0	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
''t	''t	PRON.2.Acc.Sg.clit	PRON.2.Acc.Sg.clit
Bestännig	bes'te'nig	be-stennig	ADJ.Pos.Neut.Nom.wk	0.91044776119403	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bestännig	bes'te'nig	be-stennig	ADJ.Pos.Pl.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bestännig	bes'te'nig	be-stennig	ADJ.Pos.Pl.Nom.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bestännig	bes'te'nig	be-stennig	ADV	0.696517412935323	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Besöök	be'sÖk	besÖk	NOUN.Masc.Acc.Sg
Besöök	be'sÖk	besÖk	NOUN.Masc.Dat.Sg
Besüppt	be'süpt	be-sUpen	VERB.3.Sg.Ind.Prs
Bet	bet	bet	ADP
Bet	bet	bet	SCONJ
Bett	bet	bet	ADP
Bett	bet	bet	SCONJ
Bett	bet	bed	NOUN.Masc.Dat.Sg
bett	bet	bet	ADP
bett	bet	bet	SCONJ
Bewoahr	be'wår	be-wåren	VERB.1.Sg.Ind.Prs	0.813432835820896	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bewoahr	be'wår	be-wåren	VERB.2.Sg.Imp	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bi	bI	bI	ADP
Bi	bI	bI	ADP
Bibellesen	bI'bel'lE'sen	bIbel/PROPN.Fem+lEsen	VERB.Inf
Bibellesen	bI'bel'lE'sen	bIbel/PROPN.Fem+lEsen/VERB.Inf	NOUN.Neut.Nom.Sg
Bie	bI	bI	ADP
Biet	bIt	bIten	VERB.1.Sg.Ind.Prs	0.813432835820896	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Biet	bIt	bIten	VERB.2.Sg.Imp	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bin	bin	sind	AUX.1.Sg.Ind.Prs
Bitschen	bit'Sen	bitSen	NOUN.Neut.Acc.Sg
Bitschken	bitS'ken	bitSen/NOUN.Neut-ken	NOUN.Neut.Acc.Sg
Blank	blank	blank	ADJ.Pos.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Blank	blank	blank	ADJ.Pos.Fem.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Blank	blank	blank	ADJ.Pos.Masc.Nom	0.925373134328358	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Blank	blank	blank	ADJ.Pos.Neut.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Blank	blank	blank	ADJ.Pos.Neut.Nom.wk	0.91044776119403	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Blank	blank	blank	ADJ.Pos.Pl.Acc.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Blank	blank	blank	ADJ.Pos.Pl.Nom.wk	0.90547263681592	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Blank	blank	blank	ADV	0.696517412935323	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bleef	blEv	blIven	VERB.1.Sg.Ind.Prt.wk.st	0.931034482758621	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bleef	blEv	blIven	VERB.3.Sg.Ind.Prt.wk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bliew	blIv	blIven	VERB.1.Sg.Ind.Prs	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bliew	blIv	blIven	VERB.2.Sg.Imp	1	release/hill-1868-schnurren.full.conllu	full_forms/hill-1868-schnurren.from_dict.tsv
Blitz	blits	blits	NOUN.Masc.Nom.Sg
Bloot	blOt	blOd	NOUN.Neut.Nom.Sg
Bloot	blOt	blOd	NOUN.Neut.Dat.Sg
Bloot	blOt	blOd	NOUN.Neut.Acc.Sg
Blücher	blÜ'xer	blÜxer	PROPN.Fam.Masc.Dat.Sg
Blücher	blÜ'xer	blÜxer	PROPN.Fam.Masc.Nom.Sg
Blüchern	blÜ'xern	blÜxer	PROPN.Fam.Masc.Dat.Sg
Boart	bårt	bård	NOUN.Masc.Nom.Sg
Boart	bårt	bård	NOUN.Masc.Acc.Sg
Boart	bårt	bård	NOUN.Masc.Dat.Sg
Boden	bo'den?	boden?	NOUN.Masc?.Dat
Book	bOk	bOk	NOUN.Neut.Nom.Sg
Book	bOk	bOk	NOUN.Neut.Acc.Sg
Book	bOk	bOk	NOUN.Neut.Dat.Sg
Borgen	bor'gen	borgen	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Borgen	bor'gen	borgen	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bost	bost	bost	NOUN.Fem.Dat.Sg
Brand	brand	brand	NOUN.Masc.Acc.Sg
Brandt	brant	brand	PROPN.Fam.Acc.Sg
Brandt	brant	brand	PROPN.Fam.Dat.Sg
Brandt	brant	brand	PROPN.Fam.Nom.Sg
Brandten	bran'ten	brand	PROPN.Fam.Dat.Pl?
Brandten	bran'ten	brand	PROPN.Fam.Dat.Sg?
Brandts	brants	brand	PROPN.Fam.Dat.Pl
Brandts	brants	brand	PROPN.Fam.Dat.Pl
Brandwien	brand'wIn	brand/NOUN.Masc+wIn	NOUN.Masc.Nom.Sg
Brandwien	brand'wIn	brand/NOUN.Masc+wIn	NOUN.Masc.Nom.Sg
Branntwien	brant'wIn	brand/NOUN.Masc+wIn	NOUN.Masc.Acc.Sg
Branntwien	brant'wIn	brand/NOUN.Masc+wIn	NOUN.Masc.Nom.Sg
Breef	brEf	brEv	NOUN.Masc.Nom.Sg
Breef	brEf	brEv	NOUN.Masc.Acc.Sg
Breefken	brEf'ken	brEv/NOUN.Masc-ken	NOUN.Neut.Acc.Sg
Breeftasch'	brEf'taS	brEv/NOUN.Masc+taS	NOUN.Fem.Acc.Sg
Breetsch	brEtS	brEtS	PROPN.Top.Neut.Dat.Sg
Bringt	bringt	bringen	VERB.1.Sg.Ind.Prt.wk	0.556053811659193	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bringt	bringt	bringen	VERB.2.Pl.Imp	0.663677130044843	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bringt	bringt	bringen	VERB.3.Sg.Ind.Prs	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bringt	bringt	bringen	VERB.3.Sg.Ind.Prt.wk	0.551569506726457	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bringt	bringt	bringen	VERB.PPast.wk	0.556053811659193	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Broaden	brå'den	bråden	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Broaden	brå'den	bråden	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bruer	brUr	brUen/VERB-er	NOUN.Masc.Nom.Sg
Bruer	brUr	brUen/VERB-er	NOUN.Masc.Dat.Sg
Bruer	brUr	brUen/VERB-er	NOUN.Masc.Acc.Sg
Brummt	brumt	brumen	VERB.3.Sg.Ind.Prs
Brummt	brumt	brumen	VERB.3.Sg.Ind.Prt.wk
Brusttasch	brust'taS	brust+taS	NOUN.Fem.Dat.Sg.hd
Brut	brUt	brUd	NOUN.Fem.Acc.Sg
Brut	brUt	brUd	NOUN.Fem.Nom.Sg
Brut	brUt	brUd	NOUN.Fem.Dat.Sg
Brutmann	brUt'man	brUd/NOUN.Fem+man	NOUN.Masc.Nom.Sg
Bruun'	brUn	brUn	ADJ.Pos.Masc.Nom.Sg.Def
Bruun'	brUn	brUn/ADJ.Pos	NOUN.Masc.Nom.Sg
Bruunen	brU'nen	brUn	ADJ.Pos.Masc.Acc.Sg.Def
Bruunen	brU'nen	brUn/ADJ.Pos	NOUN.Masc.Acc.Sg
Bruut	brUt	brUd	NOUN.Fem.Nom.Sg
Bruutmann	brUt'man	brUd/NOUN.Fem+man	NOUN.Masc.Acc.Sg
Bruutschuu	brUt'SU	brUd/NOUN.Fem+sU	NOUN.Fem.Nom.Sg
Bu'rfru	bUr'frU	bUr/NOUN.Masc+frU	NOUN.Fem.Nom.Sg
Buurhöaf	bUr'hœf	bUr/NOUN.Masc+hof	NOUN.Masc.Pl_o.Acc
Bäden	bÄ'den	bÄden	VERB.Inf	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bäden	bÄ'den	bÄden	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Bäten	bÄ'ten	bÄten	ADV
Bäten	bÄ'ten	bÄten	NOUN.Neut.Acc.Sg
Bäten	bÄ'ten	bÄten	NOUN.Neut.Nom.Sg
Bäärboom	bÄr'bOm	bÄr/NOUN.Fem+bOm	NOUN.Masc.Dat.Sg
Böaberst	bœ'berst	båven	ADV.Spv
Böaberst	bœ'berst	båven/ADJ.Spv	NOUN.Masc.Nom.Sg
Bölkt	bölkt	bölken	VERB.3.Sg.Ind.Prs
Böst	böst	böst	NOUN.Fem.Dat.Sg
Bückling	bük'ling	bükling	NOUN.Masc.Dat.Sg
Bückling	bük'ling	bükling	NOUN.Masc.Nom.Sg
Bückschen	bük'Sen?	bükSen?	NOUN.Pl_en.Acc
Bükschen	bük'Sen	bükSen	NOUN.Pl_en.Nom
Bün	bün	sind	AUX.1.Sg.Ind.Prs
Büst	büst	sind	AUX.2.Sg.Ind.Prs
Carow's	ka'rows	karow	PROPN.Fam.Masc.Gen.Sg
Charg'	Sarg	Sarg	NOUN.Fem.Acc.Sg
Chef	Sef	Sef	NOUN.Masc.Nom.Sg.frz
Christus	kris'tus	kristus	PROPN.Masc.Nom.Sg
Compelmenten	kom'pel'men'ten	kompelmént	NOUN.Neut.Pl_en.Nom
Controlleur	kon'tro'lÖr	kontrolÖr	NOUN.Masc.Nom.Sg.frz
D'	't	dE	DET.Def.Masc.Nom.Sg.clit
D'	't	dE	DET.Def.Fem.Dat.Sg.clit
D'	't	dE	DET.Def.Pl.Acc.clit
D'	't	dE	DET.Def.Pl.Dat.clit
Da	da	da	ADV.hd
Dach	dax	dax	NOUN.Neut.Acc.Sg.hd
Dagdäglich	dag'dÄg'lix	dag+dÄglix	ADV	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Danzen	dan'tsen	dantsen/VERB.Inf	NOUN.Neut.Dat.Sg
Danzvergnögen	dants'fer'gnÖ'gen	dants/NOUN.Masc+fer-gnÖgen/VERB.Inf	NOUN.Neut.Nom.Sg
Dat	dat	DET	DET.Def.Acc.Sg.Neut.mk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Dat	dat	DET	DET.Def.Nom.Sg.Neut.mk	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
De	de	dE	DET.Def.Fem.Acc.Sg
De	de	dE	DET.Def.Fem.Dat.Sg
De	de	dE	DET.Def.Fem.Nom.Sg
De	de	dE	DET.Def.Masc.Nom.Sg
De	de	dE	DET.Def.Pl.Acc
De	de	dE	DET.Def.Pl.Dat
De	de	dE	DET.Def.Pl.Nom
De	de	dE	PRON.Dem.Fem.Acc.Sg
De	de	dE	PRON.Dem.Fem.Dat.Sg
De	de	dE	PRON.Dem.Fem.Nom.Sg
De	de	dE	PRON.Dem.Masc.Nom.Sg
De	de	dE	PRON.Dem.Pl.Acc
De	de	dE	PRON.Dem.Pl.Dat
De	de	dE	PRON.Dem.Pl.Nom
De	de	dE	PRON.Rel.Fem.Acc.Sg
De	de	dE	PRON.Rel.Fem.Dat.Sg
De	de	dE	PRON.Rel.Fem.Nom.Sg
De	de	dE	PRON.Rel.Masc.Nom.Sg
De	de	dE	PRON.Rel.Pl.Acc
De	de	dE	PRON.Rel.Pl.Dat
De	de	dE	PRON.Rel.Pl.Nom
De't	dE't	dE	PRON.Rel.Masc.Nom.Sg PRON.3.Sg.Neut.Acc.Sg.clit
Deed	dEd	dOn	AUX.3.Sg.Ind.Prt	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Deed'	dEd'	dOn	AUX.1.Sg.Ind.Prt
Deed'	dEd'	dOn	AUX.3.Sg.Ind.Prt
Deenstvolk	dEnst'folk	dEnst/NOUN.Masc+folk	NOUN.Neut.Nom.Sg
Deid	deid	dOn	AUX.3.Sg.Ind.Prs
Deit	deit	dOn	AUX.3.Sg.Ind.Prs
Den	den	dE	DET.Def.Masc.Acc.Sg
Den	den	dE	DET.Def.Masc.Dat.Sg
Den	den	dE	PRON.Dem.Dat.Sg.Masc
Den	den	dE	PRON.Rel.Masc.Acc.Sg
Den	den	dE	PRON.Rel.Masc.Dat.Sg
den	den	dE	PRON.Dem.Acc.Sg.Masc
Denkt	denkt	denken	VERB.2.Pl.Imp	0.663677130044843	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Denkt	denkt	denken	VERB.3.Sg.Ind.Prs	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Denkt	denkt	denken	VERB.PPast.wk	0.556053811659193	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Denn	den	den	ADV
Denn	den	den	SCONJ
Dest'	dest	destO	SCONJ.lat
Di	dI	dU	PRON.2.Sg.Acc
Di	dI	dU	PRON.2.Sg.Dat
Di	dI	dU	PRON.2.Sg.Dat
Dien	dIn	DET	DET.2.Poss.Pl.Pl.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Dien	dIn	DET	DET.2.Poss.Pl.Pl.Nom	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Dien	dIn	DET	DET.2.Poss.Sg.Fem.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Dien	dIn	DET	DET.2.Poss.Sg.Fem.Nom	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Dien	dIn	DET	DET.2.Poss.Sg.Masc.Acc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Dien	dIn	DET	DET.2.Poss.Sg.Masc.Nom	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Dien	dIn	DET	DET.2.Poss.Sg.Neut.Nom	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Dien'	dIn	dU	DET.Poss.Fem.Nom.Sg
Dien's	dIns	dU	DET.Poss.2.Sg.Pl.Dat
Diene	dI'ne	dU	DET.Poss.2.Sg.Fem.Nom.Sg
Diene	dI'ne	dU	DET.Poss.2.Sg.Fem.Dat.Sg
Dissen	di'sen	DET	DET.Dem.Acc.Sg.Masc	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Dit	dit	DET	DET.Dem.Acc.Sg.Neut	1	dict/vocab.json	full_forms/hill-1868-schnurren.from_dict.tsv
Doa	då	då	PART
Doabie	då'bI	då+bI	ADV
Doaföar	då+fœr	då+fœr	ADV
Doagen	då'gen	dag	NOUN.Masc.Pl.Dat
Doalkens	dål'kens	dålken	PROPN.Fam?.Masc?.Gen.Sg
Doamen	då'men	dåm	NOUN.Fem.Pl_en.Nom
Doamit	då'mit	då+mit	ADV
Doarup	dår+up	dår+up	PART
Doarup	dårup	dårup	ADV
